x,y,z
-113125593,54803979,-804914074,17616
-115385949,52142283,-804888095,15080
-118975938,46815646,-806404466,14476
-122144437,41283874,-808407468,10752
-124603785,37382217,-809773128,12844
-125895654,34124882,-810915718,13276
-126085116,32112977,-810988779,15020
-126575634,32882301,-812852619,14192
-126559110,33681039,-814780924,14500
-126675934,35069466,-815754044,14836
-126489604,36686481,-816396576,14000
-126916498,38132558,-816301577,16212
-125538734,39246461,-815964204,14656
-124251815,39572203,-815878236,14812
-122995384,40461003,-814798486,14436
-123084907,42068286,-811518525,13452
-123948302,45526255,-807001033,20324
-124194915,47715708,-803368833,11452
-125853755,50163700,-797970056,22340
-127026018,51352513,-796301046,17196
-127147551,51030004,-795953756,14780
-126506465,51459438,-795344713,14944
-125579954,52135298,-794888617,14872
-124599748,52927759,-794508988,14716
-123941663,53485325,-794270081,14648
#!,zero-counter: 111
-121231231,54915178,-788064088,14920
-120980004,56104539,-787369244,15252
-120468824,58157322,-785699834,15008
-119962349,60010712,-783563353,17316
-119110357,61217610,-781618757,16940
-117792004,62558261,-779403697,15548
-116063502,64075131,-776796232,13640
-114914440,65907161,-774158251,13264
-113987915,67393981,-771976914,12424
-113530225,68608041,-770357678,11856
-113250868,69509726,-769571701,11960
-113971478,69662747,-770036553,12660
-115135210,69109068,-770798028,13408
-117061913,67901662,-771637538,13488
-119565254,66146212,-772448940,13684
-122103046,64409314,-773425525,13668
-124222561,62879975,-774692507,15192
-124909937,62226604,-775247177,14600
-125224579,61677196,-775328071,14740
-124155518,61980889,-775699606,14372
-121719636,64720363,-776971842,17228
-118711424,67550635,-778794182,11520
-116550437,69287901,-780568389,15344
-114923890,71476265,-781616770,11648
-113421807,73543819,-782622867,17224
-112976292,75543172,-783098842,15660
-112929989,76541692,-783197022,14496
-112342748,77251919,-783095957,14316
-111123957,78100085,-783339984,15772
-112982911,74435810,-781364001,14324
-114171679,70938950,-779255182,15820
-115807980,68441789,-776806052,18920
-118265855,66328587,-773765003,16744
-120218688,65278009,-770583824,11440
-123485963,64882033,-766908674,17628
-125274354,65438142,-765169808,13884
-126235968,66485881,-764706481,13652
-126061348,67848868,-764538323,15628
-125014180,69494398,-764764725,12632
-123517601,71859505,-765445262,13736
-124111534,72370009,-765744409,15308
#!,zero-counter: 84
-122693680,74896175,-770066591,14468
-123197319,75359963,-768768976,14176
-123301392,76231778,-767830901,14456
-122907591,77036754,-767589135,14380
-122505660,77852918,-767256752,14156
-122270580,78651430,-766477636,14520
-121839348,79616840,-765314866,16452
-120868316,81187514,-763550346,16804
-119670252,83080751,-761296494,15948
-118090844,85189793,-758992093,14584
-116161285,87594330,-757121040,13152
-113653594,89550475,-756109600,11560
-111135952,91186683,-756143561,10840
-108963359,92279569,-757184972,10412
-108168687,92877907,-758958203,11240
-108591216,92457012,-760996518,12492
-109516666,91620582,-763233658,12836
-110643533,90447730,-765363956,13208
-112202474,88857285,-767364273,13464
-113848941,87295879,-769162647,12820
-115355869,86600393,-770554898,21588
-117011329,86942451,-771299733,15204
-116991895,88276463,-770375420,16600
-117842663,89658134,-768867985,13600
-118303245,90517195,-768174115,11704
-118333992,91717042,-767483605,15448
-120275722,93215860,-764788053,13152
-124895710,93978851,-760276837,10876
-131142149,94529149,-755915433,15208
-135166769,92907289,-753783850,15076
-138020664,91068541,-753028510,14576
