x,y,z
-108397805,127459193,-784227373,15204
-111046006,124513423,-785792261,15644
-113898442,121872512,-787437946,16192
-116736843,119493678,-789136166,15580
-119175914,117490687,-790861443,15376
-121123166,115817971,-792416216,14740
-122528825,114420405,-793720810,14624
-123874656,113171045,-794662589,14568
-125494769,112130669,-795349289,14652
-127038772,110883140,-795428942,14284
-128587926,110062053,-795492114,14676
-129943341,109788217,-795689298,15304
-130856324,109777383,-795990982,15220
-131788894,110050961,-796610875,14968
-132774712,110384940,-797377577,14212
-133644574,110507270,-798012731,14336
-134658426,110375553,-798255297,14436
-135808536,109879498,-798248985,14764
-136841612,109311992,-798002925,14728
-137712679,108812775,-797805377,14292
-138549184,108487150,-797930827,14156
-139471975,108308761,-798273168,14520
-140441897,108103803,-798615977,18236
-141501016,107590231,-798848416,15160
-147112328,102378120,-798752012,13596
-149294864,98354190,-799613882,12108
-146805783,97848940,-799153520,16376
-140999001,101131691,-800275150,9704
-137882134,103694790,-800841304,14184
-137234308,105006030,-800806166,14988
-135789196,106583819,-800905907,12032
-134655962,108828358,-800853873,14368
-135280156,109499655,-800595523,16024
-135078263,110298043,-799579924,14752
-134221545,110533028,-799351676,14784
-133610340,108562564,-797317846,14736
-134129461,107345827,-794898263,13692
-136201962,105744122,-791240600,14824
-138419554,104211364,-786912794,13480
-139694196,103259010,-783572891,18412
-141316653,102250242,-780519062,12224
-142143528,102435384,-778929581,12828
-142299878,102668620,-778326767,14484
#!,zero-counter: 94
-149905653,104220082,-769398097,15040
-149402745,105565192,-768790314,16108
-147775271,107852212,-768127878,17388
-145815099,110185868,-766805979,17208
-143854663,112111410,-764778486,16264
-141607582,114031187,-762565319,14864
-139206814,116082812,-760343253,14104
-137100778,118054415,-758091233,12588
-135492879,119355743,-756116302,12688
-134479600,120122258,-754199842,12308
-133958420,120416123,-752551173,12476
-134040130,120406863,-751324961,11976
-134884428,119726378,-750452467,12940
-136175772,118760169,-749918131,13324
-137713660,117753747,-749536762,14632
-139344739,116479004,-749188343,14096
-141790289,114902165,-748382875,14176
-144082141,112833276,-747598589,13660
-146452890,110638165,-746957750,13312
-148978324,108238551,-746325749,12880
-151390029,105666496,-745997991,12964
-153575569,103232742,-746223335,13240
-155606937,101005520,-747025182,14572
-157878397,98889347,-748202412,15884
-160275145,96771829,-749652068,14852
-165246708,91562868,-751552445,14776
-165244331,92238915,-751022445,13724
-164030195,93960740,-751039121,15220
-160443431,97574483,-752997431,14764
-156819814,101746730,-755173488,16740
-152904007,106677047,-757843931,2788
-149230122,110500728,-761007663,8912
-146715017,113720986,-763403387,12516
-145946839,116088779,-764335093,19160
-145148972,118638250,-765108798,18504
-145560708,118988240,-764907419,15612
-145055218,119796682,-764705253,14500
-144086374,120519637,-764880170,14404
-143034548,120730263,-765135367,14304
-140891224,119147768,-764569734,14980
-142351460,118720155,-761373441,11236
-144876709,117465479,-755575837,14264
-147075125,117393020,-750872649,17172
-148501060,117716908,-747938450,15560
-148949254,118308077,-747489809,14580
-149911609,118512762,-747229539,14100
-150298029,119470794,-746741500,12292
-149441750,122153807,-747328816,12264
-148644866,125469417,-749221180,18564
-147996173,127697950,-751021985,16880
-146142777,130230444,-754188875,15848
-145079992,132430520,-756693556,16464
-144053068,133488375,-757746978,16216
-142036513,133713481,-758738416,14776
-139833281,133462770,-760851435,13740
-138779845,132014926,-763070569,11972
-138937096,129661314,-763647398,15784
-139679064,127027471,-763687160,14504
-142642021,125498943,-762811476,14312
-143117210,125874527,-762406175,14536
-143564437,126449098,-762058252,14336
-143943781,127023879,-761748840,14348
-144226727,127576003,-761625882,14288
#!,zero-counter: 93
-145944478,129051880,-760030965,15056
-145530267,129833343,-758704736,14808
-145238158,130166936,-757331560,14616
-144842225,130345841,-756275738,14844
-144409034,130640653,-755022704,14716
-144128376,130946761,-753262344,14716
-143826919,131463490,-750949086,15728
-143225674,132083588,-747972661,15296
-142284015,132925586,-744504846,14912
-141304753,133783463,-740866049,13976
-140209685,134591757,-737846178,12340
-138982956,135479840,-736040464,11784
-137788666,135797387,-736059072,11680
-139159113,134508633,-736491803,12052
-140654441,132859395,-737105696,12708
-142910113,130686719,-737742635,12472
-145420125,127739066,-738614755,12048
-148430374,124980964,-739788788,12180
-151471448,122729673,-741378862,13972
-154557244,120826493,-743182412,18084
-155594804,120257453,-743519115,14268
-154875690,121698383,-744183854,13144
-153918399,123240794,-744655225,11016
-152521555,125059420,-745742713,12520
-151760992,126554796,-746729466,12928
-150703966,128215749,-747569850,14640
-149937523,129477042,-748165813,13800
-148702217,131868221,-749583583,16416
-148585728,133264411,-750192614,13852
-148144775,134926256,-751072201,17344
-147535013,136613953,-752565205,17568
-148101694,136843028,-752403131,14356
-147037650,136512487,-752745783,13976
-146738111,135236231,-753013381,14432
-148185202,133404852,-752086347,15268
-151223356,130690150,-749526315,15068
-153995381,128095929,-746604577,16284
-156126144,125469842,-744409310,11412
-156238754,124063473,-743130554,14476
-157127008,124444239,-741464658,13660
-158001794,125015320,-741029967,13964
-157659882,127346823,-740129786,10244
-156097447,128968007,-740795521,11472
-154914897,131490698,-741572374,14076
-153657466,133335753,-743500596,13176
-154793166,133261296,-743274481,14160
-155197707,133657647,-742995830,14284
-153132298,135362680,-743649396,11600
-150248741,138525289,-745580626,10252
-150521150,139020897,-745802918,15160
#!,zero-counter: 122
-147411404,142569774,-747353001,16068
-146269835,143305435,-745935397,15616
-144748718,144398895,-743919933,15468
-142921159,145390430,-741698694,14624
-141966448,146849352,-739156191,13972
-140735899,147387388,-736543593,12888
-139855434,147778347,-734013971,12740
-139196195,147895984,-731569607,12100
-139167435,147747826,-729391369,11496
-139736562,147167942,-727586973,10936
-140802908,146345208,-726284691,11980
-142335303,145677094,-725543254,12356
-143859008,144839188,-725505337,12848
-145566866,143831070,-725997676,12148
-147575591,142331803,-726855534,11984
-150298923,140447667,-728027129,12228
-153030935,138309625,-729478206,14096
-155414742,136568633,-731344581,13244
-157645463,135441135,-735172788,17072
-156731392,137158653,-736468678,17936
-156062240,138921066,-737302498,15620
-154550101,140641565,-739153369,15248
-152636228,142853548,-741501403,11448
-152098340,144012549,-742026486,12676
-152443073,144622401,-742283688,14328
-151232554,146002287,-742357462,13816
-150359168,146381814,-742774132,13784
-149218955,146719692,-743329607,13896
-148120802,147004268,-743922208,13996
-148126753,146839529,-743457078,13552
-149893199,145006685,-741427006,16516
-152893268,142641332,-738449124,15512
-156686330,140032169,-735197291,14312
-159850385,138470457,-732537514,13292
-161782735,137263467,-730988299,13988
-163256885,137276701,-730977073,13700
-164013580,137439186,-730441209,13324
-164658464,137913458,-730027814,14836
-163871375,139066150,-730247902,11332
-161579777,142448032,-732229196,12524
-160426805,144762627,-733931649,15600
-160602576,145745652,-734382329,15676
-161518968,145415034,-734155704,14504
-160430962,146949440,-733668316,14028
-158998655,147947534,-733799835,13708
-157571425,148503721,-734349857,13552
-156713837,148312516,-734884191,13884
-157372217,147427687,-734158630,12552
-159519103,145912248,-731834513,12940
-162786415,143996709,-729088492,13812
-165693685,143089321,-726974224,15684
-167625674,142541996,-725491436,15296
-168146389,142373559,-725298509,14952
-168801741,142470671,-725430506,13664
-169049969,142466946,-725020962,12976
-168860851,142881758,-724502896,13340
-168541007,143502093,-724030494,13872
-167796722,144996885,-723973464,14364
-167034191,146504025,-724518866,16712
-166136951,147898824,-725414786,12208
-165098064,149268200,-726042012,16780
-163411793,151127712,-727283316,15752
-159922559,156835843,-731466863,14556
-159240130,156501855,-731574349,13968
